Registration No.,Registration Type,Supplier Name,Street Address,"Municipality, Province, State, Postal Code/Zip"
292282,Non-Gaming Exempt (NGE),Snap  Halifax,PO BOX 44043,"BEDFORD, NS  B4A 2B9"
292283,Non-Gaming Exempt (NGE),Snap Dartmouth,"#3   644 PORTLAND STREET,","SUITE 141, DARTMOUTH  B2W 2M3"
292285,Non-Gaming Exempt (NGE),Bell Media Radio,2900 AGRICOLA STREET,"HALIFAX, NS  B3K 6A7"
292289,Non-Gaming Exempt (NGE),Synergy Screens Digital Signage,258 SUMMER STREET,"SUMMERSIDE, PEI"
292292,Non-Gaming Exempt (NGE),SDF Production Services Inc.,1829 EAST PETPESWICK ROAD,"HALIFAX COUNTY, NS  B0J 2L0"
292293,Non-Gaming Exempt (NGE),Thorns - Source Atlantic,20 WABANA COURT,"SYDNEY , NS  B1P 0B9"
292294,Non-Gaming Exempt (NGE),Rona,199 TOWNSEND STREET,"SYDNEY, NS  B1P 5E4"
292295,Non-Gaming Exempt (NGE),Kerr Controls,56 COSSITT HEIGHTS DRIVE,"SYDNEY, NS  B1P 1E8"
292296,Non-Gaming Exempt (NGE),Jean Francois Lefebvre,130 AVENUE ACHIN,ST. LAMBERT QUEBEC  J4R 2V1
292297,Non-Gaming Exempt (NGE),Amherst Police Department,21 ACADIA STREET,"AMHERST, NS  B4H 4W3"
292298,Non-Gaming Exempt (NGE),Walmart,80 SYDNEY POT ACCESS ROAD,"SYDNEY, NS  B1P 6S9"
292299,Non-Gaming Exempt (NGE),Supertemp,5251 DUKE STREET SUITE 1206,"HALIFAX, NS  B3J 1P3"
292301,Non-Gaming Exempt (NGE),Guardian Alarm Security,484 GRANDLAKE ROAD,"SYDNEY, NS  B1P 5S8"
292303,Non-Gaming Exempt (NGE),Perco Ventures 512681 NB Ltd.,402 BLYTHWOOD AVENUE,RIVERVIEW NEW BRUNSWICK  E1B 2H2
